ID,Ang_Vel_X,Ang_Vel_Y,Ang_Vel_Z,Lin_Acc_X,Lin_Acc_Y,Lin_Acc_Z
0.1,-0.00630054,0.00422245,-0.00118668,0.00823742,-0.00328127,9.80131
0.11,-0.00722689,-0.00136012,-0.0038118,-0.0100489,0.00702913,9.80759
0.12,-0.0021105,0.00704988,-0.00521364,-0.000641941,-0.00545359,9.80645
0.13,-0.00557337,0.00565955,-0.00528962,0.00147148,-0.0033386,9.79954
0.14,0.00256691,0.00593847,-0.00235807,-0.0116817,0.00467304,9.7948
0.15,-0.0108653,0.00480712,-0.000673476,-0.00245266,-0.00869712,9.7982
0.16,-0.00115711,0.00818974,0.00600165,-0.00105157,0.0119537,9.79954
0.17,-0.000992183,0.0066356,-0.00645511,-0.011435,-0.00546582,9.80277
0.18,-0.00268354,0.000972681,-0.00192137,-0.00454638,0.00638981,9.79779
0.19,-0.00537838,0.0111483,-0.00334593,0.00658911,-0.00452965,9.79991
0.2,-0.00335446,-0.000748453,0.0066456,0.00438907,-0.000585921,9.7999
0.21,-0.00288003,0.0128276,-0.000234134,8.7084e-05,0.0035997,9.80109
0.22,-0.00676018,-0.00204376,0.0113391,-0.00562393,0.00467512,9.80336
1.1,-0.00645612,0.00490852,0.00603026,2.56011e-05,0.00236358,9.80076
1.11,0.00255608,-0.00912322,0.00230726,0.00430415,-0.00382307,9.8023
1.12,0.00114345,-0.000998421,0.0134899,0.000509665,-0.0076889,9.79997
1.13,-0.004496,0.00322171,0.00190482,-0.0048953,-0.000727091,9.80647
1.14,-0.00469842,0.00430782,-0.00207554,-0.00364374,0.00412558,9.80358
1.15,-0.0120423,0.00908262,-0.00481856,-0.00667133,-8.64375e-05,9.7937
1.16,-0.00425291,0.00427399,0.00380785,0.00313296,0.00331474,9.79491
1.17,-0.00392308,0.00170489,-0.00150931,-0.0038514,0.000727515,9.79468
1.18,-0.0019608,0.00955317,0.00172742,0.00343819,0.00145134,9.80945
1.19,-0.00429968,0.00880106,0.00870358,0.000584764,0.00607135,9.79699
1.2,0.00598611,0.00124256,0.00745097,-0.00555796,-0.00754922,9.80644
1.21,-0.0157284,-0.00269147,0.00161833,0.00615707,-0.00309333,9.79619
2.1,-0.00538912,-7.95557e-05,0.00895591,-0.00562868,0.00629219,9.80532
2.11,-0.00747801,-0.00680071,0.000374923,0.00123778,0.000304535,9.79118
2.12,-0.00359285,0.0107286,0.000128644,-0.000867074,0.00184033,9.79999
2.13,-0.00633539,0.00230773,0.000639295,0.00593895,0.0051682,9.80003
2.14,-0.0105669,0.00811729,0.00301444,-0.00450471,0.0015058,9.79905
2.15,0.0013443,0.00246085,0.00307334,0.00201451,-0.00594263,9.79938
2.16,-0.0013127,-0.000964218,-0.00278308,-0.00191493,0.00085018,9.79887
2.17,-0.00150165,-0.00131054,0.011158,0.00737942,-0.00310908,9.79918
2.18,-0.0101233,0.0106688,0.0022325,-0.00542206,-0.000618105,9.79975
