ID,Rot_11,Rot_12,Rot_13,Rot_21,Rot_22,Rot_23,Rot_31,Rot_32,Rot_33,Pos_X,Pos_Y,Pos_Z
0,0.197871,0.980228,0.000115293,-0.980228,0.197871,-2.84501e-05,-5.07008e-05,-0.000107384,1,0.500424,-0.982909,-0.000384939
1,0.198788,0.980043,5.60304e-05,-0.980043,0.198788,-5.17981e-05,-6.19025e-05,-4.46154e-05,1,0.500423,-0.982906,-0.000384939
2,0.199403,0.979918,6.01252e-05,-0.979918,0.199403,-0.00010477,-0.000114655,-3.80264e-05,1,0.500423,-0.982904,-0.000384939
3,0.199716,0.979854,5.70052e-05,-0.979854,0.199716,6.35552e-06,-5.15737e-06,-5.71261e-05,1,0.500422,-0.9829,-0.000384939
4,0.200172,0.979761,7.41489e-05,-0.979761,0.200172,-4.36618e-05,-5.76207e-05,-6.39083e-05,1,0.500421,-0.982897,-0.000384938
5,0.200189,0.979757,0.000107198,-0.979757,0.200189,-8.69669e-05,-0.000106666,-8.7618e-05,1,0.521013,-1.08365,-0.00038952
6,0.200379,0.979718,0.000113472,-0.979718,0.200379,-6.62349e-05,-8.7629e-05,-9.78986e-05,1,0.525573,-1.10595,-0.000390455
7,0.197052,0.980393,0.000164124,-0.980393,0.197052,-7.08098e-05,-0.000101762,-0.000146953,1,0.53869,-1.17038,-0.000393489
8,0.197541,0.980295,0.000134294,-0.980295,0.197541,-8.59396e-05,-0.000110775,-0.000114671,1,0.560369,-1.27802,-0.000398372
9,0.198056,0.980191,0.000138425,-0.980191,0.198056,4.08928e-05,1.26667e-05,-0.000143782,1,0.588172,-1.41583,-0.000405215
10,0.198219,0.980158,0.000144058,-0.980158,0.198219,3.01703e-05,1.01657e-06,-0.00014718,1,0.609869,-1.52317,-0.000410241
11,0.183733,0.982976,0.000101116,-0.982976,0.183733,-2.47859e-05,-4.29423e-05,-9.48403e-05,1,0.63751,-1.6603,-0.000416358
12,-0.0149492,0.999888,8.36028e-05,-0.999888,-0.0149492,-6.11876e-05,-5.9931e-05,-8.45081e-05,1,0.647516,-1.75332,-0.00042022
13,-0.0408861,0.999164,7.56871e-05,-0.999164,-0.0408861,-6.37106e-05,-6.05628e-05,-7.82287e-05,1,0.646975,-1.75759,-0.000420286
14,-0.101146,0.994872,0.000120295,-0.994872,-0.101146,-5.1816e-05,-3.9383e-05,-0.000124919,1,0.641591,-1.86084,-0.000424705
15,-0.37747,0.926022,5.22598e-05,-0.926022,-0.37747,-0.000107351,-7.96828e-05,-8.89154e-05,1,0.610613,-1.99749,-0.000430993
16,-0.670174,0.742204,-4.22697e-05,-0.742204,-0.670174,-0.000193316,-0.000171808,-9.81828e-05,1,0.542569,-2.10699,-0.000436602
17,-0.878185,0.47832,-3.43396e-05,-0.47832,-0.878185,-0.000123624,-8.92885e-05,-9.21397e-05,1,0.441304,-2.18849,-0.000442574
18,-0.977452,0.21116,-3.80059e-05,-0.21116,-0.977452,-0.000107447,-5.98374e-05,-9.69987e-05,1,0.339071,-2.22691,-0.000447648
